'Al', 'Zn', 'Mg', 'Cu', 'Si', 'Fe', 'Mn', 'Cr', 'Ti', 'Other','Temper', 'Precip', 'pH', 'Cl', 'wf'
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,22.7,2051.5,4.8,0.17,4.49
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,-0.45,357,7.05,0,0.03
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,22.35,856,5.45,0.01,0.13
96.53,0.25,1,0.28,0.6,0.7,0.15,0.2,0.15,0.15,22.7,2051.5,4.8,0.17,1.47
96.53,0.25,1,0.28,0.6,0.7,0.15,0.2,0.15,0.15,6.4,432,6.55,0,0.18
96.53,0.25,1,0.28,0.6,0.7,0.15,0.2,0.15,0.15,6.15,40,7.3,0.01,0.18
96.53,0.25,1,0.28,0.6,0.7,0.15,0.2,0.15,0.15,-0.45,357,7.05,0,0.15
88.63,6.2,2.25,2.3,0.12,0.15,0.1,0.04,0.06,0.15,22.7,2051.5,4.8,0.17,17.61
88.63,6.2,2.25,2.3,0.12,0.15,0.1,0.04,0.06,0.15,6.4,432,6.55,0,0.27
88.63,6.2,2.25,2.3,0.12,0.15,0.1,0.04,0.06,0.15,6.15,40,7.3,0.01,0.5
88.63,6.2,2.25,2.3,0.12,0.15,0.1,0.04,0.06,0.15,-0.45,357,7.05,0,0.71
93,0.2,5.15,0.1,0.5,0.5,0.45,0,0,0.1,22.7,2051.5,4.8,0.17,0.86
93,0.2,5.15,0.1,0.5,0.5,0.45,0,0,0.1,22.35,856,5.45,0.01,0.48
93,0.2,5.15,0.1,0.5,0.5,0.45,0,0,0.1,-0.45,357,7.05,0,0.44
91.95,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.1,9.35,556,6,0.01,0.04
91.95,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.1,22.7,2051.5,4.8,0.17,0.33
91.95,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.1,22.35,856,5.45,0.01,0.67
94.35,0.3,0.6,2.2,0.95,0.7,0.6,0,0.15,0.15,21.35,1277.5,6.1,0,5.1
92.75,0.1,1.5,4.35,0.2,0.3,0.6,0,0.1,0.1,22.35,856,5.45,0.01,0.97
92.75,0.1,1.5,4.35,0.2,0.3,0.6,0,0.1,0.1,-0.45,357,7.05,0,0.14
96.83,0.2,0.68,0.4,0.85,0.5,0.13,0.13,0.15,0.15,9.35,556,6,0.01,0.05
96.83,0.2,0.68,0.4,0.85,0.5,0.13,0.13,0.15,0.15,22.7,2051.5,4.8,0.17,0.5
96.83,0.2,0.68,0.4,0.85,0.5,0.13,0.13,0.15,0.15,22.35,856,5.45,0.01,0.7
89.8,5.7,2.25,1.55,0.1,0.12,0.06,0.22,0.06,0.15,22.7,2051.5,4.8,0.17,1.34
89.8,5.7,2.25,1.55,0.1,0.12,0.06,0.22,0.06,0.15,6.4,432,6.55,0,0.07
89.8,5.7,2.25,1.55,0.1,0.12,0.06,0.22,0.06,0.15,6.15,40,7.3,0.01,0.15
89.8,5.7,2.25,1.55,0.1,0.12,0.06,0.22,0.06,0.15,-0.45,357,7.05,0,0.1
88.18,6,2.3,1.7,0.5,0.5,0.4,0.18,0.1,0.15,9.35,556,6,0.01,0.17
88.18,6,2.3,1.7,0.5,0.5,0.4,0.18,0.1,0.15,22.7,2051.5,4.8,0.17,0.97
88.77,5.6,2.5,1.6,0.5,0.5,0.15,0.23,0.1,0.05,22.35,856,5.45,0.01,2.12
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,22.7,2051.5,4.8,0.17,14.78
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,6.4,432,6.55,0,0.22
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,6.15,40,7.3,0.01,0.25
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,-0.45,357,7.05,0,0.21
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,22.35,856,5.45,0.01,0.3
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,-0.45,357,7.05,0,0.09
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,22.7,2051.5,4.8,0.17,3.21
89.4,5.75,2.3,1.7,0.05,0.15,0.4,0.18,0.03,0.05,9.35,556,6,0.01,0.33
88.24,6.5,2.4,2.2,0.12,0.15,0.1,0.04,0.1,0.15,22.7,2051.5,4.8,0.17,4.9
88.24,6.5,2.4,2.2,0.12,0.15,0.1,0.04,0.1,0.15,6.4,432,6.55,0,0.11
88.24,6.5,2.4,2.2,0.12,0.15,0.1,0.04,0.1,0.15,6.15,40,7.3,0.01,0.35
88.24,6.5,2.4,2.2,0.12,0.15,0.1,0.04,0.1,0.15,-0.45,357,7.05,0,0.12
95.85,0,2.4,0.1,0.4,0.4,0.28,0.28,0.15,0.15,9.35,556,6,0.01,0.09
95.85,0,2.4,0.1,0.4,0.4,0.28,0.28,0.15,0.15,22.7,2051.5,4.8,0.17,0.33
95.85,0,2.4,0.1,0.4,0.4,0.28,0.28,0.15,0.15,22.35,856,5.45,0.01,0.56
