'Al', 'Zn', 'Mg', 'Cu', 'Si', 'Fe', 'Mn', 'Cr', 'Ti', 'Other', 'Cycle','Temper', 'Precip', 'pH', 'Cl',wf', 'Rate'
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,1,22.7,2051.5,4.8,0.17,210,4.49
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,2,22.7,2051.5,4.8,0.17,210,3.66
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,3,22.7,2051.5,4.8,0.17,210,3.11
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,4,22.7,2051.5,4.8,0.17,210,2.97
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,1,-0.45,357,7.05,0,210,0.03
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,2,-0.45,357,7.05,0,210,0.03
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,3,-0.45,357,7.05,0,210,0.06
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,4,-0.45,357,7.05,0,210,0.05
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,1,22.35,856,5.45,0.01,210,0.13
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,2,22.35,856,5.45,0.01,210,0.13
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,3,22.35,856,5.45,0.01,210,0.13
91.9,0.25,1.5,4.35,0.5,0.5,0.6,0.1,0.15,0.15,4,22.35,856,5.45,0.01,210,0.13
96.53,0.25,1,0.28,0.6,0.7,0.15,0.2,0.15,0.15,1,22.7,2051.5,4.8,0.17,170,1.47
96.53,0.25,1,0.28,0.6,0.7,0.15,0.2,0.15,0.15,2,22.7,2051.5,4.8,0.17,170,0.66
96.53,0.25,1,0.28,0.6,0.7,0.15,0.2,0.15,0.15,5,22.7,2051.5,4.8,0.17,170,0.41
96.53,0.25,1,0.28,0.6,0.7,0.15,0.2,0.15,0.15,1,6.4,432,6.55,0,170,0.18
96.53,0.25,1,0.28,0.6,0.7,0.15,0.2,0.15,0.15,2,6.4,432,6.55,0,170,0.01
