'Al', 'Cycle', 'Precip',wf', 'Rate'
91.9,1,2051.5,210,4.49
91.9,2,2051.5,210,3.66
91.9,3,2051.5,210,3.11
91.9,4,2051.5,210,2.97
91.9,1,357,210,0.03
91.9,2,357,210,0.03
91.9,3,357,210,0.06
91.9,4,357,210,0.05
91.9,1,856,210,0.13
91.9,2,856,210,0.13
91.9,3,856,210,0.13
91.9,4,856,210,0.13
96.53,1,2051.5,170,1.47
96.53,2,2051.5,170,0.66
96.53,5,2051.5,170,0.41
96.53,1,432,170,0.18
96.53,2,432,170,0.01
96.53,5,432,170,0.01
96.53,1,40,170,0.18
96.53,2,40,170,0.02
96.53,5,40,170,0.02
96.53,1,357,170,0.15
96.53,2,357,170,0.02
96.53,5,357,170,0.01
88.63,1,2051.5,-250,17.61
88.63,2,2051.5,-250,2.76
88.63,5,2051.5,-250,1.56
88.63,1,432,-250,0.27
88.63,2,432,-250,0.02
88.63,5,432,-250,0.02
88.63,1,40,-250,0.5
88.63,2,40,-250,0.01
88.63,5,40,-250,0.08
88.63,1,357,-250,0.71
88.63,2,357,-250,0.00001
88.63,5,357,-250,0.01
93,1,2051.5,170,0.86
93,2,2051.5,170,0.51
93,3,2051.5,170,0.7
93,5,2051.5,170,0.75
93,1,856,170,0.48
93,2,856,170,0.36
93,3,856,170,0.41
93,5,856,170,0.22
93,1,357,170,0.44
93,2,357,170,0.24
93,3,357,170,0.18
93,5,357,170,0.09
91.95,1,556,210,0.04
91.95,3,556,210,0.02
91.95,6,556,210,0.02
91.95,1,2051.5,210,0.33
91.95,3,2051.5,210,0.96
91.95,6,2051.5,210,0.24
91.95,1,856,210,0.67
91.95,3,856,210,0.41
91.95,6,856,210,0.37
94.35,0.5,1277.5,60,1
94.35,1,1277.5,60,5.1
94.35,2,1277.5,60,0.7
94.35,3,1277.5,60,1
92.75,1,856,210,0.97
92.75,2,856,210,0.2
92.75,3,856,210,0.42
92.75,5,856,210,0.21
92.75,1,357,210,0.14
92.75,2,357,210,0.02
92.75,3,357,210,0.03
92.75,5,357,210,0.11
96.83,1,556,210,0.05
96.83,3,556,210,0.02
96.83,6,556,210,0.03
96.83,1,2051.5,210,0.5
96.83,3,2051.5,210,0.13
96.83,6,2051.5,210,0.27
96.83,1,856,210,0.7
96.83,3,856,210,0.7
96.83,6,856,210,0.4
89.8,1,2051.5,-250,1.34
89.8,2,2051.5,-250,0.85
89.8,1,432,-250,0.07
89.8,2,432,-250,0.05
89.8,1,40,-250,0.15
89.8,2,40,-250,0.09
89.8,1,357,-250,0.1
89.8,2,357,-250,0.06
88.18,1,556,320,0.17
88.18,3,556,320,0.08
88.18,6,556,320,0.05
88.18,1,2051.5,320,0.97
88.18,3,2051.5,320,0.64
88.18,6,2051.5,320,0.37
88.18,1,856,320,0.73
88.18,3,856,320,0.78
88.18,6,856,320,0.67
88.77,1,2051.5,320,15.42
88.77,2,2051.5,320,6.73
88.77,3,2051.5,320,5.03
88.77,4,2051.5,320,6.33
88.77,5,2051.5,320,5.67
88.77,1,856,320,2.12
88.77,2,856,320,0.64
88.77,3,856,320,0.39
88.77,5,856,320,0.51
88.77,1,357,320,0.13
88.77,2,357,320,0.06
88.77,3,357,320,0.05
88.77,5,357,320,0.05
88.72,1,2051.5,-250,14.78
88.72,2,2051.5,-250,4.49
88.72,5,2051.5,-250,2.05
88.72,1,432,-250,0.22
88.72,2,432,-250,0.01
88.72,5,432,-250,0.01
88.72,1,40,-250,0.25
88.72,2,40,-250,0.11
88.72,5,40,-250,0.08
88.72,1,357,-250,0.21
88.72,2,357,-250,0.01
88.72,5,357,-250,0.02
89.4,1,856,-250,0.3
89.4,2,856,-250,0.18
89.4,3,856,-250,0.18
89.4,5,856,-250,0.07
89.4,1,357,-250,0.09
89.4,2,357,-250,0.01
89.4,3,357,-250,0.03
89.4,5,357,-250,0.05
89.4,1,2051.5,-250,3.21
89.4,2,2051.5,-250,2.32
89.4,3,2051.5,-250,1.97
89.4,5,2051.5,-250,1.51
89.4,1,556,-250,0.33
89.4,2,556,-250,0.13
89.4,3,556,-250,0.11
88.24,1,2051.5,-250,4.9
88.24,2,2051.5,-250,3.56
88.24,1,432,-250,0.11
88.24,2,432,-250,0.00001
88.24,1,40,-250,0.35
88.24,2,40,-250,0.11
88.24,1,357,-250,0.12
88.24,2,357,-250,0.01
95.85,1,556,170,0.09
95.85,3,556,170,0.31
95.85,6,556,170,0.04
95.85,1,2051.5,170,0.33
95.85,3,2051.5,170,0.13
95.85,6,2051.5,170,0.25
95.85,1,856,170,0.56
95.85,3,856,170,0.48
95.85,6,856,170,0.46
